"","Player","X.x","Year","Pos","Age","Tm","G","GS","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","X.y","height","weight","collage","born","birth_city","birth_state","X","Team","Salary","conference"
"461","DeAndre Liggins",24418,2017,"SG",28,"TOT",62,19,777,7.5,0.476,0.324,0.282,2.9,12.2,7.7,9.2,3,1.5,20.8,11.6,-0.4,0.9,0.5,0.031,-3.9,1.8,-2.1,0,55,142,0.387,17,46,0.37,38,96,0.396,0.447,25,40,0.625,20,88,108,54,47,14,42,81,152,3494,198,94,"University of Kentucky",1988,"Chicago","Illinois",504,"NOP",172238,FALSE
"462","DeAndre Liggins",24420,2017,"SG",28,"DAL",1,0,25,17.6,0.546,0.167,0.5,13.3,19.5,16.3,0,4.2,0,0,13.8,0.1,0,0.1,0.194,-1.9,-2,-3.9,0,3,6,0.5,0,1,0,3,5,0.6,0.5,2,3,0.667,3,4,7,0,2,0,0,3,8,3494,198,94,"University of Kentucky",1988,"Chicago","Illinois",504,"NOP",172238,FALSE
"463","DeAndre Liggins",24419,2017,"SG",28,"CLE",61,19,752,7.2,0.473,0.331,0.272,2.6,11.9,7.4,9.5,3,1.5,21.6,11.5,-0.5,0.9,0.4,0.025,-4,2,-2,0,52,136,0.382,17,45,0.378,35,91,0.385,0.445,23,37,0.622,17,84,101,54,45,14,42,78,144,3494,198,94,"University of Kentucky",1988,"Chicago","Illinois",504,"NOP",172238,TRUE
"464","Sean Kilpatrick",24395,2017,"SG",27,"BRK",70,24,1754,13.1,0.546,0.419,0.329,1.3,15.4,8.4,14.6,1.2,0.3,13.9,23.9,0.3,1.1,1.4,0.039,-1.2,-1.8,-3,-0.4,305,735,0.415,105,308,0.341,200,427,0.468,0.486,204,242,0.843,22,258,280,157,46,6,136,118,919,3721,193,95,"University of Cincinnati",1990,"Yonkers","New York",505,"LAC",172238,TRUE
"465","Rashad Vaughn",24639,2017,"SG",20,"MIL",41,2,458,7.8,0.449,0.519,0.032,1,11.3,6.2,7.4,2.1,1.9,8.1,17.2,-0.5,0.4,0,-0.005,-3.7,-1.2,-4.9,-0.3,57,156,0.365,26,81,0.321,31,75,0.413,0.449,2,5,0.4,4,45,49,23,19,10,14,32,142,3826,198,91,"University of Nevada, Las Vegas",1996,"Minneapolis","Minnesota",506,"ORL",166258,TRUE
"466","Troy Williams",24672,2017,"SF",22,"TOT",30,16,557,8.9,0.511,0.371,0.192,3,11.2,7,7,2.5,1.7,15.4,17.2,-0.4,0.7,0.3,0.03,-3.4,0.7,-2.7,-0.1,73,167,0.437,18,62,0.29,55,105,0.524,0.491,21,32,0.656,15,54,69,25,27,10,33,60,185,3917,198,97,"South Carolina State University",1969,"Columbia","South Carolina",507,"NYK",148318,FALSE
"467","Troy Williams",24673,2017,"SF",22,"MEM",24,13,418,7.6,0.474,0.333,0.203,1.6,11,6.2,7.2,3,2.1,16.8,17.5,-0.6,0.6,0,0.001,-4.7,1.6,-3.1,-0.1,51,123,0.415,10,41,0.244,41,82,0.5,0.455,15,25,0.6,6,39,45,19,24,9,27,42,127,3917,198,97,"South Carolina State University",1969,"Columbia","South Carolina",507,"NYK",148318,FALSE
"468","Troy Williams",24674,2017,"SF",22,"HOU",6,3,139,12.8,0.616,0.477,0.159,7.1,11.8,9.4,6.4,1,0.6,11.3,16.2,0.2,0.1,0.3,0.116,0.4,-2.1,-1.7,0,22,44,0.5,8,21,0.381,14,23,0.609,0.591,6,7,0.857,9,15,24,6,3,1,6,18,58,3917,198,97,"South Carolina State University",1969,"Columbia","South Carolina",507,"NYK",148318,FALSE
"469","Brandon Rush",24569,2017,"SG",31,"MIN",47,33,1030,6.6,0.505,0.61,0.096,1.8,9.5,5.6,5.8,1.1,1.9,12.6,9.6,0.1,0.3,0.4,0.019,-2,-0.1,-2.1,0,70,187,0.374,44,114,0.386,26,73,0.356,0.492,13,18,0.722,16,83,99,45,22,23,28,42,197,3314,198,99,"University of Kansas",1985,"Kansas City","Missouri",510,"POR",119602,FALSE
"470","Brandon Jennings",24369,2017,"PG",27,"TOT",81,13,1802,12.1,0.479,0.471,0.284,1.8,10.1,5.9,30.4,1.9,0.2,17.5,17.6,0.7,1,1.7,0.046,-0.8,-2.2,-3,-0.4,192,535,0.359,79,252,0.313,113,283,0.399,0.433,114,152,0.75,29,167,196,395,70,5,128,116,577,3365,185,77,"",1989,"Compton","California",511,"MIL",119010,FALSE
"471","Brandon Jennings",24370,2017,"PG",27,"NYK",58,11,1428,12.7,0.508,0.466,0.315,1.6,9.9,5.7,28.6,1.9,0.3,17.8,18.1,0.8,0.7,1.5,0.052,-0.3,-2.2,-2.5,-0.2,163,429,0.38,68,200,0.34,95,229,0.415,0.459,102,135,0.756,21,131,152,287,55,5,106,84,496,3365,185,77,"",1989,"Compton","California",511,"MIL",119010,TRUE
"472","Brandon Jennings",24371,2017,"PG",27,"WAS",23,2,374,9.7,0.357,0.491,0.16,2.4,10.8,6.6,37.2,2,0,16.2,15.8,-0.1,0.3,0.2,0.025,-2.6,-2.1,-4.7,-0.3,29,106,0.274,11,52,0.212,18,54,0.333,0.325,12,17,0.706,8,36,44,108,15,0,22,32,81,3365,185,77,"",1989,"Compton","California",511,"MIL",119010,TRUE
"473","Derrick Williams",24666,2017,"PF",25,"CLE",25,0,427,11.1,0.628,0.486,0.364,0.8,13.5,7.4,4.7,0.6,0.4,10.1,14.4,0.6,0.2,0.8,0.086,-1.1,-2.1,-3.2,-0.1,54,107,0.505,21,52,0.404,33,55,0.6,0.603,27,39,0.692,3,54,57,14,5,2,14,27,156,3527,190,90,"University of Illinois at Urbana-Champaign",1984,"Parkersburg","West Virginia",512,"LAL",104059,TRUE
"474","Derrick Williams",24664,2017,"PF",25,"TOT",50,11,804,10.6,0.537,0.398,0.365,2.6,15.1,8.9,5.1,0.9,0.7,9,17.2,0.4,0.6,1.1,0.064,-2.4,-1.8,-4.2,-0.4,108,244,0.443,30,97,0.309,78,147,0.531,0.504,58,89,0.652,19,111,130,28,14,7,28,60,304,3527,190,90,"University of Illinois at Urbana-Champaign",1984,"Parkersburg","West Virginia",512,"LAL",104059,FALSE
"475","Derrick Williams",24665,2017,"PF",25,"MIA",25,11,377,10.1,0.465,0.328,0.365,4.7,16.9,10.7,5.6,1.2,1,8.1,20.4,-0.1,0.4,0.3,0.038,-3.8,-1.4,-5.2,-0.3,54,137,0.394,9,45,0.2,45,92,0.489,0.427,31,50,0.62,16,57,73,14,9,5,14,33,148,3527,190,90,"University of Illinois at Urbana-Champaign",1984,"Parkersburg","West Virginia",512,"LAL",104059,TRUE
"476","Georges Niang",24489,2017,"PF",23,"IND",23,0,93,0.1,0.285,0.333,0.056,2.4,17.9,10.3,7.5,1.6,0,11.9,20.2,-0.4,0.1,-0.3,-0.168,-9.9,-2.2,-12.1,-0.2,9,36,0.25,1,12,0.083,8,24,0.333,0.264,2,2,1,2,15,17,5,3,0,5,6,21,3889,203,104,"Iowa State University",1993,"Lawrence","Massachusetts",515,"IND",1e+05,TRUE
"477","K.J. McDaniels",24449,2017,"SF",23,"HOU",29,0,212,10.2,0.552,0.397,0.147,3.1,12.4,7.7,2.7,1.6,3,12.1,16.4,0,0.2,0.3,0.058,-3.7,-1,-4.7,-0.1,31,68,0.456,9,27,0.333,22,41,0.537,0.522,9,10,0.9,6,24,30,4,7,8,10,24,80,3728,198,90,"",1992,"","",513,"TOR",1e+05,FALSE
"478","K.J. McDaniels",24450,2017,"SF",23,"BRK",20,0,293,12.5,0.556,0.386,0.277,3.3,15.3,9.4,4.9,1.9,2.6,14.4,19.3,0,0.3,0.3,0.046,-3.3,-0.4,-3.7,-0.1,46,101,0.455,11,39,0.282,35,62,0.565,0.51,23,28,0.821,9,43,52,9,12,10,19,25,126,3728,198,90,"",1992,"","",513,"TOR",1e+05,TRUE
"479","K.J. McDaniels",24448,2017,"SF",23,"TOT",49,0,505,11.5,0.555,0.391,0.225,3.2,14.1,8.7,4,1.8,2.8,13.5,18.1,0,0.5,0.5,0.051,-3.5,-0.6,-4.1,-0.3,77,169,0.456,20,66,0.303,57,103,0.553,0.515,32,38,0.842,15,67,82,13,19,18,29,49,206,3728,198,90,"",1992,"","",513,"TOR",1e+05,FALSE
"480","Quinn Cook",24203,2017,"PG",23,"TOT",14,0,188,11.8,0.579,0.394,0.076,0.6,3.6,2,22.8,1.1,0,16,19.6,0.1,0.1,0.2,0.047,-1.7,-4.2,-5.9,-0.2,33,66,0.5,11,26,0.423,22,40,0.55,0.583,2,5,0.4,1,6,7,26,4,0,13,13,79,3847,188,83,"Duke University",1993,"Washington","District of Columbia",516,"ATL",1e+05,FALSE
"481","Quinn Cook",24204,2017,"PG",23,"DAL",5,0,77,6.9,0.522,0.56,0.08,0,4.8,2.3,25.7,0.7,0,23.6,20.7,-0.1,0,-0.1,-0.046,-4.2,-4.5,-8.7,-0.1,11,25,0.44,5,14,0.357,6,11,0.545,0.54,0,2,0,0,3,3,12,1,0,8,6,27,3847,188,83,"Duke University",1993,"Washington","District of Columbia",516,"ATL",1e+05,FALSE
"482","Quinn Cook",24205,2017,"PG",23,"NOP",9,0,111,15.3,0.614,0.293,0.073,0.9,2.9,1.9,20.7,1.3,0,10.6,18.9,0.2,0.1,0.3,0.11,0,-4,-4,-0.1,22,41,0.537,6,12,0.5,16,29,0.552,0.61,2,3,0.667,1,3,4,14,3,0,5,7,52,3847,188,83,"Duke University",1993,"Washington","District of Columbia",516,"ATL",1e+05,FALSE
"483","Demetrius Jackson",24362,2017,"PG",22,"BOS",5,0,17,30.8,0.753,0.25,1.5,13.2,13,13.1,28.2,0,0,0,17.3,0.1,0,0.1,0.386,9.2,-2.8,6.4,0,3,4,0.75,1,1,1,2,3,0.667,0.875,3,6,0.5,2,2,4,3,0,0,0,0,10,3870,185,91,"University of Notre Dame",1994,"South Bend","Indiana",517,"BOS",92858,TRUE
"484","Briante Weber",24650,2017,"PG",24,"TOT",20,0,205,11,0.462,0.167,0.267,4.3,9.6,7,15,2.9,0.4,10.7,16.3,0,0.2,0.3,0.059,-3.2,0,-3.2,-0.1,25,60,0.417,1,10,0.1,24,50,0.48,0.425,11,16,0.688,8,18,26,21,12,1,8,16,62,3827,188,74,"Virginia Commonwealth University",1992,"Chesapeake","Virginia",528,"MEM",83129,FALSE
"485","Briante Weber",24651,2017,"PG",24,"GSW",7,0,46,5.9,0.392,0.214,0.214,0,9,4.8,13.9,3.1,1.7,16.4,17.2,-0.1,0.1,0,-0.018,-6.9,0.7,-6.2,0,5,14,0.357,0,3,0,5,11,0.455,0.357,2,3,0.667,0,4,4,5,3,1,3,4,12,3827,188,74,"Virginia Commonwealth University",1992,"Chesapeake","Virginia",528,"MEM",83129,FALSE
"486","Briante Weber",24652,2017,"PG",24,"CHO",13,0,159,12.5,0.483,0.152,0.283,5.5,9.7,7.6,15.4,2.8,0,8.8,16.1,0.1,0.2,0.3,0.081,-2.1,-0.2,-2.3,0,20,46,0.435,1,7,0.143,19,39,0.487,0.446,9,13,0.692,8,14,22,16,9,0,5,12,50,3827,188,74,"Virginia Commonwealth University",1992,"Chesapeake","Virginia",528,"MEM",83129,TRUE
"487","Jarell Eddie",24240,2017,"SF",25,"PHO",5,0,62,9.7,0.523,0.842,0.474,1.7,10.8,6.1,0,0.8,0,4.2,16.2,0.1,0,0.1,0.054,-1.5,-5.9,-7.3,-0.1,6,19,0.316,4,16,0.25,2,3,0.667,0.421,8,9,0.889,1,6,7,0,1,0,1,1,24,3776,201,98,"Virginia Polytechnic Institute and State University",1991,"Tampa","Florida",526,"BOS",83129,FALSE
"488","Jarell Eddie",24240,2017,"SF",25,"PHO",5,0,62,9.7,0.523,0.842,0.474,1.7,10.8,6.1,0,0.8,0,4.2,16.2,0.1,0,0.1,0.054,-1.5,-5.9,-7.3,-0.1,6,19,0.316,4,16,0.25,2,3,0.667,0.421,8,9,0.889,1,6,7,0,1,0,1,1,24,3776,201,98,"Virginia Polytechnic Institute and State University",1991,"Tampa","Florida",527,"CHI",83129,FALSE
"489","Demetrius Jackson",24362,2017,"PG",22,"BOS",5,0,17,30.8,0.753,0.25,1.5,13.2,13,13.1,28.2,0,0,0,17.3,0.1,0,0.1,0.386,9.2,-2.8,6.4,0,3,4,0.75,1,1,1,2,3,0.667,0.875,3,6,0.5,2,2,4,3,0,0,0,0,10,3870,185,91,"University of Notre Dame",1994,"South Bend","Indiana",529,"HOU",74159,TRUE
"490","Georgios Papagiannis",24516,2017,"C",19,"SAC",22,0,355,12.7,0.573,0.02,0.137,7.9,19.9,14,9,0.4,4.4,18.2,16.9,0.1,0.3,0.4,0.058,-3.5,0.8,-2.7,-0.1,56,102,0.549,0,2,0,56,100,0.56,0.549,12,14,0.857,24,62,86,20,3,17,24,44,124,3893,216,108,"",1997,"Amarousio","Greece",530,"POR",74159,FALSE
"491","Isaiah Canaan",24181,2017,"SG",25,"CHI",39,0,592,8.1,0.483,0.543,0.191,1.1,7.9,4.5,9,1.9,0.1,9.6,15.3,0,0.5,0.5,0.044,-2.2,-1.2,-3.4,-0.2,63,173,0.364,25,94,0.266,38,79,0.481,0.436,30,33,0.909,6,43,49,37,22,1,20,35,181,3619,183,91,"Murray State University",1991,"Biloxi","Mississippi",533,"HOU",53465,TRUE
"492","Briante Weber",24650,2017,"PG",24,"TOT",20,0,205,11,0.462,0.167,0.267,4.3,9.6,7,15,2.9,0.4,10.7,16.3,0,0.2,0.3,0.059,-3.2,0,-3.2,-0.1,25,60,0.417,1,10,0.1,24,50,0.48,0.425,11,16,0.688,8,18,26,21,12,1,8,16,62,3827,188,74,"Virginia Commonwealth University",1992,"Chesapeake","Virginia",553,"HOU",50000,FALSE
"493","Briante Weber",24650,2017,"PG",24,"TOT",20,0,205,11,0.462,0.167,0.267,4.3,9.6,7,15,2.9,0.4,10.7,16.3,0,0.2,0.3,0.059,-3.2,0,-3.2,-0.1,25,60,0.417,1,10,0.1,24,50,0.48,0.425,11,16,0.688,8,18,26,21,12,1,8,16,62,3827,188,74,"Virginia Commonwealth University",1992,"Chesapeake","Virginia",551,"LAL",50000,FALSE
"494","Briante Weber",24651,2017,"PG",24,"GSW",7,0,46,5.9,0.392,0.214,0.214,0,9,4.8,13.9,3.1,1.7,16.4,17.2,-0.1,0.1,0,-0.018,-6.9,0.7,-6.2,0,5,14,0.357,0,3,0,5,11,0.455,0.357,2,3,0.667,0,4,4,5,3,1,3,4,12,3827,188,74,"Virginia Commonwealth University",1992,"Chesapeake","Virginia",553,"HOU",50000,FALSE
"495","Briante Weber",24651,2017,"PG",24,"GSW",7,0,46,5.9,0.392,0.214,0.214,0,9,4.8,13.9,3.1,1.7,16.4,17.2,-0.1,0.1,0,-0.018,-6.9,0.7,-6.2,0,5,14,0.357,0,3,0,5,11,0.455,0.357,2,3,0.667,0,4,4,5,3,1,3,4,12,3827,188,74,"Virginia Commonwealth University",1992,"Chesapeake","Virginia",551,"LAL",50000,FALSE
"496","Briante Weber",24652,2017,"PG",24,"CHO",13,0,159,12.5,0.483,0.152,0.283,5.5,9.7,7.6,15.4,2.8,0,8.8,16.1,0.1,0.2,0.3,0.081,-2.1,-0.2,-2.3,0,20,46,0.435,1,7,0.143,19,39,0.487,0.446,9,13,0.692,8,14,22,16,9,0,5,12,50,3827,188,74,"Virginia Commonwealth University",1992,"Chesapeake","Virginia",553,"HOU",50000,TRUE
"497","Briante Weber",24652,2017,"PG",24,"CHO",13,0,159,12.5,0.483,0.152,0.283,5.5,9.7,7.6,15.4,2.8,0,8.8,16.1,0.1,0.2,0.3,0.081,-2.1,-0.2,-2.3,0,20,46,0.435,1,7,0.143,19,39,0.487,0.446,9,13,0.692,8,14,22,16,9,0,5,12,50,3827,188,74,"Virginia Commonwealth University",1992,"Chesapeake","Virginia",551,"LAL",50000,TRUE
"498","Demetrius Jackson",24362,2017,"PG",22,"BOS",5,0,17,30.8,0.753,0.25,1.5,13.2,13,13.1,28.2,0,0,0,17.3,0.1,0,0.1,0.386,9.2,-2.8,6.4,0,3,4,0.75,1,1,1,2,3,0.667,0.875,3,6,0.5,2,2,4,3,0,0,0,0,10,3870,185,91,"University of Notre Dame",1994,"South Bend","Indiana",536,"HOU",50000,TRUE
"499","Gary Payton",24528,2017,"PG",24,"MIL",6,0,99,4.5,0.413,0.409,0.227,0,14,7.1,18.1,1.5,3.6,29.2,15.8,-0.3,0.1,-0.2,-0.074,-7.3,0.6,-6.7,-0.1,8,22,0.364,1,9,0.111,7,13,0.538,0.386,3,5,0.6,0,12,12,13,3,4,10,9,20,3894,193,81,"Oregon State University",1968,"Oakland","California",546,"MIL",50000,TRUE
"500","Marcus Thornton",24619,2017,"SG",29,"WAS",33,1,575,10.4,0.494,0.381,0.129,4.3,10.5,7.5,10.1,1.6,0.4,10.1,18.7,0.1,0.4,0.5,0.042,-1.6,-1.5,-3.2,-0.2,84,210,0.4,28,80,0.35,56,130,0.431,0.467,23,27,0.852,22,54,76,41,19,3,25,48,219,3382,193,92,"Louisiana State University",1987,"Baton Rouge","Louisiana",566,"CLE",46080,TRUE
"501","DeAndre Liggins",24418,2017,"SG",28,"TOT",62,19,777,7.5,0.476,0.324,0.282,2.9,12.2,7.7,9.2,3,1.5,20.8,11.6,-0.4,0.9,0.5,0.031,-3.9,1.8,-2.1,0,55,142,0.387,17,46,0.37,38,96,0.396,0.447,25,40,0.625,20,88,108,54,47,14,42,81,152,3494,198,94,"University of Kentucky",1988,"Chicago","Illinois",567,"ATL",26773,FALSE
"502","DeAndre Liggins",24420,2017,"SG",28,"DAL",1,0,25,17.6,0.546,0.167,0.5,13.3,19.5,16.3,0,4.2,0,0,13.8,0.1,0,0.1,0.194,-1.9,-2,-3.9,0,3,6,0.5,0,1,0,3,5,0.6,0.5,2,3,0.667,3,4,7,0,2,0,0,3,8,3494,198,94,"University of Kentucky",1988,"Chicago","Illinois",567,"ATL",26773,FALSE
"503","DeAndre Liggins",24419,2017,"SG",28,"CLE",61,19,752,7.2,0.473,0.331,0.272,2.6,11.9,7.4,9.5,3,1.5,21.6,11.5,-0.5,0.9,0.4,0.025,-4,2,-2,0,52,136,0.382,17,45,0.378,35,91,0.385,0.445,23,37,0.622,17,84,101,54,45,14,42,78,144,3494,198,94,"University of Kentucky",1988,"Chicago","Illinois",567,"ATL",26773,TRUE
"504","Beno Udrih",24631,2017,"PG",34,"DET",39,0,560,16.1,0.535,0.162,0.173,1.1,10.3,5.6,35.4,1.2,0,14.9,19.7,0.8,0.5,1.3,0.111,-0.5,-2.1,-2.6,-0.1,92,197,0.467,11,32,0.344,81,165,0.491,0.495,32,34,0.941,6,51,57,131,13,0,37,29,227,3035,190,92,"",1982,"Celje","Slovenia",571,"DET",25000,TRUE
"505","Quinn Cook",24203,2017,"PG",23,"TOT",14,0,188,11.8,0.579,0.394,0.076,0.6,3.6,2,22.8,1.1,0,16,19.6,0.1,0.1,0.2,0.047,-1.7,-4.2,-5.9,-0.2,33,66,0.5,11,26,0.423,22,40,0.55,0.583,2,5,0.4,1,6,7,26,4,0,13,13,79,3847,188,83,"Duke University",1993,"Washington","District of Columbia",569,"NOP",25000,FALSE
"506","Quinn Cook",24204,2017,"PG",23,"DAL",5,0,77,6.9,0.522,0.56,0.08,0,4.8,2.3,25.7,0.7,0,23.6,20.7,-0.1,0,-0.1,-0.046,-4.2,-4.5,-8.7,-0.1,11,25,0.44,5,14,0.357,6,11,0.545,0.54,0,2,0,0,3,3,12,1,0,8,6,27,3847,188,83,"Duke University",1993,"Washington","District of Columbia",569,"NOP",25000,FALSE
"507","Quinn Cook",24205,2017,"PG",23,"NOP",9,0,111,15.3,0.614,0.293,0.073,0.9,2.9,1.9,20.7,1.3,0,10.6,18.9,0.2,0.1,0.3,0.11,0,-4,-4,-0.1,22,41,0.537,6,12,0.5,16,29,0.552,0.61,2,3,0.667,1,3,4,14,3,0,5,7,52,3847,188,83,"Duke University",1993,"Washington","District of Columbia",569,"NOP",25000,FALSE
"508","Joel Bolomboy",24157,2017,"PF",23,"UTA",12,0,53,19.7,0.59,0.25,0.375,9,27.6,18.5,6.3,1,3.1,9.7,18.2,0.1,0.1,0.2,0.171,-1.3,0.5,-0.8,0,9,16,0.563,1,4,0.25,8,12,0.667,0.594,3,6,0.5,4,13,17,2,1,2,2,1,22,3841,206,106,"Weber State University",1994,"Kiev","Ukraine",572,"MIL",22248,FALSE
"509","Jarell Eddie",24240,2017,"SF",25,"PHO",5,0,62,9.7,0.523,0.842,0.474,1.7,10.8,6.1,0,0.8,0,4.2,16.2,0.1,0,0.1,0.054,-1.5,-5.9,-7.3,-0.1,6,19,0.316,4,16,0.25,2,3,0.667,0.421,8,9,0.889,1,6,7,0,1,0,1,1,24,3776,201,98,"Virginia Polytechnic Institute and State University",1991,"Tampa","Florida",573,"CHI",17224,FALSE
