"","Player","X.x","Year","Pos","Age","Tm","G","GS","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","X.y","height","weight","collage","born","birth_city","birth_state","X","Team","Salary","conference"
"377","Tyler Ennis",24247,2017,"PG",22,"HOU",31,0,196,4,0.444,0.25,0.047,2.2,8.4,5.3,24.5,1.5,0,26.9,19.3,-0.4,0.1,-0.2,-0.061,-6.8,-2.8,-9.6,-0.4,25,64,0.391,6,16,0.375,19,48,0.396,0.438,2,3,0.667,4,15,19,34,6,0,24,29,58,3703,190,87,"Syracuse University",1994,"Brampton","Canada",368,"LAL",1524305,FALSE
"378","Tyler Ennis",24248,2017,"PG",22,"LAL",22,2,392,14.6,0.553,0.375,0.153,1.6,6.1,3.8,20.3,2.5,0.4,12,19,0.5,0.2,0.7,0.08,0.3,-2.6,-2.3,0,65,144,0.451,21,54,0.389,44,90,0.489,0.524,19,22,0.864,6,21,27,52,20,2,21,29,170,3703,190,87,"Syracuse University",1994,"Brampton","Canada",368,"LAL",1524305,FALSE
"379","Bobby Portis",24539,2017,"PF",21,"CHI",64,13,1000,14.9,0.545,0.256,0.157,8,24,16,5.7,0.8,0.9,8.4,19.1,1.1,1.2,2.4,0.114,-1.6,-1.5,-3.1,-0.3,183,375,0.488,32,96,0.333,151,279,0.541,0.531,39,59,0.661,75,221,296,35,16,11,37,94,437,3813,211,104,"University of Arkansas",1995,"Little Rock","Arkansas",376,"CHI",1516320,TRUE
"380","Malachi Richardson",24554,2017,"SG",21,"SAC",22,0,198,9.6,0.517,0.412,0.279,1.8,11.5,6.7,8.7,1.3,0.5,9.5,19.3,0,0.1,0.1,0.028,-2.5,-3,-5.5,-0.2,28,68,0.412,8,28,0.286,20,40,0.5,0.471,15,19,0.789,3,20,23,11,5,1,8,23,79,3900,198,92,"Syracuse University",1996,"Trenton","New Jersey",377,"TOR",1504560,FALSE
"381","Arron Afflalo",24101,2017,"SG",31,"SAC",61,45,1580,9,0.559,0.36,0.221,0.7,8.4,4.6,7.4,0.7,0.4,8.4,14.4,1.2,0.2,1.4,0.043,-1.4,-2,-3.5,-0.6,185,420,0.44,62,151,0.411,123,269,0.457,0.514,83,93,0.892,9,116,125,78,21,7,42,104,515,3204,196,95,"University of California, Los Angeles",1985,"Los Angeles","California",378,"SAC",1500000,FALSE
"382","Chris McCullough",24445,2017,"PF",21,"TOT",16,0,80,15.2,0.526,0.219,0.156,12.1,13.3,12.7,4.4,1.2,1.9,8.1,19.9,0.1,0.1,0.1,0.072,-2,-2.6,-4.6,-0.1,16,32,0.5,1,7,0.143,15,25,0.6,0.516,3,5,0.6,9,10,19,2,2,2,3,7,36,3799,211,90,"Syracuse University",1995,"Bronx","New York",386,"WAS",1471382,FALSE
"383","Chris McCullough",24446,2017,"PF",21,"BRK",14,0,72,16.8,0.541,0.194,0.097,13.4,11.6,12.5,4.9,0.7,2.1,5.8,20.4,0.1,0,0.1,0.098,-0.9,-3,-3.8,0,16,31,0.516,1,6,0.167,15,25,0.6,0.532,2,3,0.667,9,8,17,2,1,2,2,7,35,3799,211,90,"Syracuse University",1995,"Bronx","New York",386,"WAS",1471382,TRUE
"384","Jarell Martin",24437,2017,"PF",22,"MEM",42,3,558,8.7,0.477,0.166,0.331,8.4,25.3,16.6,2.2,1.6,1.5,13.9,16.4,-0.2,0.8,0.6,0.054,-5.8,-0.6,-6.4,-0.6,58,151,0.384,9,25,0.36,49,126,0.389,0.414,40,50,0.8,42,120,162,8,17,9,28,91,165,3797,208,108,"Louisiana State University",1994,"Baton Rouge","Louisiana",383,"MEM",1471382,FALSE
"385","Joe Young",24683,2017,"PG",24,"IND",33,0,135,11.4,0.433,0.319,0.208,0.8,13.1,7.1,18,1.5,0,6,27.8,-0.2,0.1,-0.1,-0.022,-3.5,-3.8,-7.3,-0.2,26,72,0.361,5,23,0.217,21,49,0.429,0.396,11,15,0.733,1,16,17,15,4,0,5,5,68,3832,188,81,"University of Oregon",1992,"Houston","Texas",394,"IND",1471382,TRUE
"386","Jordan Mickey",24461,2017,"PF",22,"BOS",25,1,141,9.8,0.473,0.029,0.412,10.4,16.4,13.4,7.1,1.1,3.5,18.3,15.5,-0.1,0.2,0.1,0.036,-5.7,0.9,-4.8,-0.1,15,34,0.441,0,1,0,15,33,0.455,0.441,8,14,0.571,13,21,34,7,3,6,9,12,38,3802,203,106,"Louisiana State University",1994,"Dallas","Texas",392,"MIA",1471382,TRUE
